Date,Price,Open,High,Low,Vol.,Change %,Symbol
15-09-2025,986,984,993.65,983.55,799.71K,0.44%,ADNA
12-09-2025,981.7,981,986.55,975.45,1.09M,0.55%,ADNA
11-09-2025,976.35,965,"1,004.80",961.2,3.60M,1.35%,ADNA
10-09-2025,963.35,946.5,973,945.8,2.00M,2.08%,ADNA
09-09-2025,943.7,941.9,947.5,935.8,868.75K,0.69%,ADNA
08-09-2025,937.2,934.9,945,931.85,1.66M,0.84%,ADNA
05-09-2025,929.35,932.05,935,916.25,847.68K,0.02%,ADNA
04-09-2025,929.15,944.4,954.15,926.5,865.80K,-0.70%,ADNA
03-09-2025,935.7,933.85,939.55,931.15,626.49K,0.20%,ADNA
02-09-2025,933.85,934.8,943.45,929,967.22K,0.25%,ADNA
01-09-2025,931.55,920.4,933.7,918.05,839.46K,1.98%,ADNA
29-08-2025,913.5,920.15,926.8,908.5,1.48M,-0.83%,ADNA
28-08-2025,921.15,931,935,917.1,1.31M,-1.08%,ADNA
26-08-2025,931.25,964.15,965.75,926,1.46M,-3.41%,ADNA
25-08-2025,964.1,958.35,972.7,958.35,943.86K,0.72%,ADNA
22-08-2025,957.2,965,970.2,952.9,946.99K,-0.97%,ADNA
21-08-2025,966.6,976,983.95,964.15,820.01K,-0.96%,ADNA
20-08-2025,975.95,969,984,967.95,1.58M,0.26%,ADNA
19-08-2025,973.4,942.05,975.5,937.45,1.89M,3.37%,ADNA
18-08-2025,941.65,929,955.55,925.75,1.86M,2.63%,ADNA
14-08-2025,917.5,925,933,914.05,1.03M,-0.72%,ADNA
13-08-2025,924.15,932.1,938.45,919.5,1.02M,-0.73%,ADNA
12-08-2025,930.9,929.1,941,927.5,1.10M,0.19%,ADNA
11-08-2025,929.1,914.05,933.15,908,1.61M,1.65%,ADNA
08-08-2025,914.05,939.85,946.65,909.05,2.05M,-2.42%,ADNA
07-08-2025,936.7,951.95,955.15,903.5,3.66M,-2.18%,ADNA
06-08-2025,957.55,975.9,977.5,955,1.20M,-1.46%,ADNA
05-08-2025,971.75,993,996.4,965.2,1.37M,-1.82%,ADNA
04-08-2025,989.8,980,997,971.65,1.28M,1.77%,ADNA
01-08-2025,972.6,988.8,"1,007.65",968,1.80M,-1.23%,ADNA
31-07-2025,984.7,985.5,"1,007.50",980.1,2.06M,-2.48%,ADNA
30-07-2025,"1,009.70","1,020.00","1,024.50","1,007.00",1.37M,-0.58%,ADNA
29-07-2025,"1,015.60","1,007.00","1,022.90",993.5,3.49M,1.17%,ADNA
28-07-2025,"1,003.90",979.7,"1,013.60",979,4.05M,2.87%,ADNA
25-07-2025,975.9,"1,021.80","1,021.80",973,2.52M,-4.39%,ADNA
24-07-2025,"1,020.70","1,035.00","1,037.10","1,017.70",1.30M,-1.28%,ADNA
23-07-2025,"1,033.90","1,018.40","1,038.30","1,017.00",1.73M,1.99%,ADNA
22-07-2025,"1,013.70","1,037.00","1,042.20","1,006.60",1.33M,-2.21%,ADNA
21-07-2025,"1,036.60","1,031.20","1,042.10","1,024.10",877.28K,0.62%,ADNA
18-07-2025,"1,030.20","1,042.70","1,051.00","1,024.40",1.79M,-1.90%,ADNA
17-07-2025,"1,050.10","1,039.00","1,054.90","1,033.40",2.30M,1.11%,ADNA
16-07-2025,"1,038.60","1,033.10","1,049.50","1,033.10",2.55M,0.53%,ADNA
15-07-2025,"1,033.10","1,027.00","1,042.00","1,026.00",2.06M,0.70%,ADNA
14-07-2025,"1,025.90",995.8,"1,036.00",994.2,5.13M,3.08%,ADNA
11-07-2025,995.2,999.8,"1,010.90",985.2,1.85M,-0.06%,ADNA
10-07-2025,995.8,999.7,"1,007.90",992.3,1.06M,0.06%,ADNA
09-07-2025,995.2,997.1,"1,011.00",993.2,1.48M,0.32%,ADNA
08-07-2025,992,991.8,"1,005.00",981.3,1.07M,0.09%,ADNA
07-07-2025,991.1,997,998.8,988.7,863.08K,-0.57%,ADNA
04-07-2025,996.8,"1,012.00","1,012.00",990,1.57M,-1.16%,ADNA
03-07-2025,"1,008.50","1,023.00","1,023.70","1,005.00",1.23M,-1.03%,ADNA
02-07-2025,"1,019.00","1,020.00","1,031.40","1,012.10",1.31M,0.32%,ADNA
01-07-2025,"1,015.70","1,030.00","1,038.00","1,007.20",1.84M,-0.97%,ADNA
30-06-2025,"1,025.60","1,020.00","1,034.50","1,015.10",2.02M,0.98%,ADNA
