Date,Price,Open,High,Low,Vol.,Change %,Symbol
15-09-2025,"1,397.40","1,393.10","1,409.00","1,393.10",945.99K,0.31%,APSE
12-09-2025,"1,393.10","1,395.50","1,406.50","1,391.10",1.47M,0.00%,APSE
11-09-2025,"1,393.10","1,404.90","1,423.10","1,388.00",4.04M,0.29%,APSE
10-09-2025,"1,389.10","1,400.00","1,404.90","1,385.00",2.55M,0.59%,APSE
09-09-2025,"1,380.90","1,354.70","1,385.00","1,348.30",3.52M,2.42%,APSE
08-09-2025,"1,348.30","1,321.90","1,363.40","1,321.90",1.45M,2.00%,APSE
05-09-2025,"1,321.80","1,330.00","1,335.70","1,312.80",1.14M,-0.48%,APSE
04-09-2025,"1,328.20","1,338.00","1,348.00","1,326.00",1.35M,-0.32%,APSE
03-09-2025,"1,332.40","1,338.00","1,344.80","1,327.60",1.77M,-0.28%,APSE
02-09-2025,"1,336.20","1,340.90","1,348.80","1,328.20",1.50M,0.07%,APSE
01-09-2025,"1,335.30","1,318.30","1,338.50","1,316.10",983.91K,1.71%,APSE
29-08-2025,"1,312.80","1,318.00","1,322.90","1,303.00",1.59M,-0.20%,APSE
28-08-2025,"1,315.40","1,316.90","1,338.80","1,311.20",1.79M,0.00%,APSE
26-08-2025,"1,315.40","1,335.20","1,339.90","1,310.00",1.65M,-1.87%,APSE
25-08-2025,"1,340.40","1,341.30","1,348.90","1,332.50",1.21M,-0.06%,APSE
22-08-2025,"1,341.20","1,364.00","1,364.00","1,338.20",1.21M,-1.51%,APSE
21-08-2025,"1,361.80","1,371.10","1,377.80","1,355.30",1.23M,-0.64%,APSE
20-08-2025,"1,370.60","1,369.40","1,374.60","1,358.00",1.59M,0.09%,APSE
19-08-2025,"1,369.40","1,332.00","1,371.70","1,325.00",3.15M,3.18%,APSE
18-08-2025,"1,327.20","1,321.90","1,332.00","1,295.00",10.23M,2.07%,APSE
14-08-2025,"1,300.30","1,324.80","1,329.00","1,290.50",2.30M,-1.46%,APSE
13-08-2025,"1,319.60","1,335.20","1,339.30","1,316.60",1.21M,-0.82%,APSE
12-08-2025,"1,330.50","1,342.00","1,349.60","1,328.20",1.26M,-0.66%,APSE
11-08-2025,"1,339.40","1,325.00","1,348.30","1,313.70",2.05M,1.09%,APSE
08-08-2025,"1,325.00","1,345.40","1,356.90","1,317.70",1.56M,-1.52%,APSE
07-08-2025,"1,345.40","1,351.00","1,357.90","1,315.00",2.86M,-1.59%,APSE
06-08-2025,"1,367.10","1,374.00","1,386.90","1,358.10",2.29M,0.66%,APSE
05-08-2025,"1,358.10","1,392.00","1,394.20","1,346.00",3.00M,-2.22%,APSE
04-08-2025,"1,388.90","1,349.80","1,397.00","1,345.20",1.37M,3.10%,APSE
01-08-2025,"1,347.10","1,371.00","1,375.90","1,342.80",1.24M,-1.89%,APSE
31-07-2025,"1,373.10","1,382.10","1,395.80","1,370.30",1.41M,-1.50%,APSE
30-07-2025,"1,394.00","1,398.80","1,403.10","1,391.50",627.32K,-0.14%,APSE
29-07-2025,"1,395.90","1,376.00","1,398.70","1,373.60",782.76K,1.45%,APSE
28-07-2025,"1,376.00","1,396.30","1,404.10","1,373.50",790.02K,-1.45%,APSE
25-07-2025,"1,396.30","1,411.70","1,416.70","1,390.00",744.41K,-1.08%,APSE
24-07-2025,"1,411.60","1,423.20","1,426.00","1,405.00",598.01K,-0.65%,APSE
23-07-2025,"1,420.80","1,430.00","1,438.50","1,419.00",740.82K,0.01%,APSE
22-07-2025,"1,420.70","1,454.50","1,454.50","1,417.10",976.67K,-2.05%,APSE
21-07-2025,"1,450.50","1,442.10","1,453.10","1,430.00",815.78K,0.51%,APSE
18-07-2025,"1,443.10","1,452.40","1,456.50","1,429.10",1.15M,-0.65%,APSE
17-07-2025,"1,452.50","1,455.00","1,464.00","1,448.90",1.17M,-0.29%,APSE
16-07-2025,"1,456.70","1,447.50","1,474.00","1,442.90",2.49M,0.80%,APSE
15-07-2025,"1,445.10","1,434.40","1,449.30","1,429.00",735.11K,0.84%,APSE
14-07-2025,"1,433.00","1,432.00","1,446.50","1,426.10",718.44K,0.09%,APSE
11-07-2025,"1,431.70","1,444.00","1,453.90","1,428.30",819.86K,-0.79%,APSE
10-07-2025,"1,443.10","1,444.00","1,450.20","1,437.20",1.04M,0.01%,APSE
09-07-2025,"1,443.00","1,448.40","1,455.80","1,438.30",1.01M,-0.38%,APSE
08-07-2025,"1,448.50","1,438.00","1,449.90","1,430.00",824.94K,0.90%,APSE
07-07-2025,"1,435.60","1,424.40","1,437.80","1,417.00",764.52K,0.79%,APSE
04-07-2025,"1,424.40","1,432.00","1,439.90","1,416.60",608.46K,-0.47%,APSE
03-07-2025,"1,431.10","1,444.00","1,451.10","1,426.70",978.01K,-0.89%,APSE
02-07-2025,"1,443.90","1,458.00","1,458.00","1,440.00",1.22M,-0.21%,APSE
01-07-2025,"1,447.00","1,450.30","1,459.80","1,442.00",2.13M,-0.22%,APSE
30-06-2025,"1,450.20","1,440.80","1,453.50","1,432.70",1.59M,0.69%,APSE
27-06-2025,"1,440.20","1,434.90","1,456.80","1,427.00",2.89M,0.76%,APSE
26-06-2025,"1,429.30","1,399.00","1,433.00","1,395.20",2.88M,2.60%,APSE
25-06-2025,"1,393.10","1,399.70","1,404.00","1,385.50",1.92M,0.26%,APSE
24-06-2025,"1,389.50","1,395.10","1,418.70","1,385.10",7.64M,2.56%,APSE
23-06-2025,"1,354.80","1,341.00","1,364.90","1,335.70",3.92M,0.41%,APSE
20-06-2025,"1,349.30","1,338.00","1,356.70","1,334.60",4.54M,0.84%,APSE
19-06-2025,"1,338.00","1,370.50","1,372.60","1,331.60",2.95M,-2.52%,APSE
18-06-2025,"1,372.60","1,387.00","1,395.20","1,365.20",1.73M,-1.41%,APSE
17-06-2025,"1,392.30","1,400.50","1,414.80","1,384.00",1.57M,-0.59%,APSE
16-06-2025,"1,400.60","1,389.00","1,411.20","1,375.00",2.82M,-0.31%,APSE
