Date,Price,Open,High,Low,Vol.,Change %,Symbol
15-09-2025,"3,592.60","3,581.00","3,607.00","3,576.00",864.89K,0.36%,LART
12-09-2025,"3,579.80","3,556.40","3,595.40","3,548.10",1.15M,1.13%,LART
11-09-2025,"3,539.70","3,548.00","3,564.70","3,533.00",1.18M,-0.29%,LART
10-09-2025,"3,550.00","3,559.00","3,577.40","3,541.10",1.14M,0.71%,LART
09-09-2025,"3,525.00","3,547.20","3,550.00","3,516.40",1.52M,-0.13%,LART
08-09-2025,"3,529.60","3,570.00","3,579.90","3,525.00",1.04M,-0.68%,LART
05-09-2025,"3,553.60","3,592.80","3,609.10","3,549.10",830.81K,-1.09%,LART
04-09-2025,"3,592.60","3,622.90","3,624.90","3,572.50",1.43M,-0.23%,LART
03-09-2025,"3,600.80","3,594.00","3,606.30","3,560.00",1.31M,0.72%,LART
02-09-2025,"3,574.90","3,598.40","3,619.90","3,560.00",1.23M,-0.65%,LART
01-09-2025,"3,598.40","3,601.00","3,628.60","3,581.90",1.09M,-0.07%,LART
29-08-2025,"3,601.00","3,575.60","3,615.00","3,540.20",1.68M,1.15%,LART
28-08-2025,"3,560.10","3,540.00","3,576.90","3,537.20",1.70M,0.53%,LART
26-08-2025,"3,541.30","3,599.00","3,600.00","3,531.00",1.79M,-1.72%,LART
25-08-2025,"3,603.10","3,616.00","3,617.90","3,584.30",980.39K,0.20%,LART
22-08-2025,"3,595.80","3,610.00","3,634.50","3,582.00",1.06M,-0.47%,LART
21-08-2025,"3,612.60","3,599.00","3,648.00","3,588.00",1.62M,0.57%,LART
20-08-2025,"3,592.30","3,613.50","3,619.90","3,580.00",1.33M,-0.57%,LART
19-08-2025,"3,613.00","3,648.90","3,654.00","3,608.20",1.35M,-0.61%,LART
18-08-2025,"3,635.10","3,699.00","3,701.50","3,621.70",1.95M,-1.14%,LART
14-08-2025,"3,677.00","3,700.00","3,708.50","3,641.70",1.77M,-0.45%,LART
13-08-2025,"3,693.70","3,696.00","3,716.00","3,681.30",1.23M,0.21%,LART
12-08-2025,"3,686.10","3,680.00","3,727.90","3,673.10",2.28M,0.48%,LART
11-08-2025,"3,668.40","3,610.00","3,676.90","3,600.00",1.82M,1.69%,LART
08-08-2025,"3,607.60","3,641.60","3,662.30","3,600.00",1.34M,-0.93%,LART
07-08-2025,"3,641.60","3,610.30","3,649.00","3,599.20",1.21M,0.36%,LART
06-08-2025,"3,628.40","3,650.00","3,671.00","3,622.20",931.38K,-0.66%,LART
05-08-2025,"3,652.60","3,630.00","3,657.70","3,608.30",1.16M,0.59%,LART
04-08-2025,"3,631.10","3,595.20","3,636.80","3,577.00",1.03M,1.22%,LART
01-08-2025,"3,587.30","3,636.00","3,636.00","3,578.10",1.21M,-1.35%,LART
31-07-2025,"3,636.50","3,625.00","3,662.90","3,621.00",1.93M,-0.78%,LART
30-07-2025,"3,665.10","3,622.00","3,685.30","3,590.00",8.76M,4.85%,LART
29-07-2025,"3,495.60","3,418.00","3,504.30","3,406.50",1.24M,2.14%,LART
28-07-2025,"3,422.20","3,430.10","3,446.10","3,405.10",2.26M,-0.60%,LART
25-07-2025,"3,442.90","3,470.00","3,477.00","3,437.40",1.34M,-0.99%,LART
24-07-2025,"3,477.50","3,484.90","3,493.40","3,461.00",1.08M,-0.21%,LART
23-07-2025,"3,484.90","3,476.20","3,490.00","3,458.60",1.19M,0.59%,LART
22-07-2025,"3,464.60","3,502.00","3,507.60","3,454.10",2.59M,-1.09%,LART
21-07-2025,"3,502.80","3,467.60","3,508.10","3,444.90",1.52M,1.10%,LART
18-07-2025,"3,464.80","3,489.00","3,499.00","3,450.00",1.82M,-0.26%,LART
17-07-2025,"3,474.00","3,515.00","3,515.00","3,467.50",2.22M,-0.85%,LART
16-07-2025,"3,503.80","3,504.00","3,516.00","3,477.00",1.27M,0.28%,LART
15-07-2025,"3,494.00","3,519.00","3,521.00","3,481.70",1.59M,-0.05%,LART
14-07-2025,"3,495.90","3,540.60","3,548.70","3,488.00",1.36M,-1.26%,LART
11-07-2025,"3,540.60","3,575.00","3,586.60","3,535.50",1.44M,-0.95%,LART
10-07-2025,"3,574.70","3,575.00","3,589.90","3,569.00",1.06M,-0.14%,LART
09-07-2025,"3,579.70","3,605.00","3,605.10","3,568.20",1.01M,-0.74%,LART
08-07-2025,"3,606.40","3,580.00","3,614.00","3,560.00",1.51M,0.70%,LART
07-07-2025,"3,581.40","3,599.90","3,609.80","3,575.10",719.54K,-0.37%,LART
04-07-2025,"3,594.60","3,590.00","3,600.00","3,570.10",696.40K,0.33%,LART
03-07-2025,"3,582.90","3,605.00","3,625.00","3,576.00",1.23M,-0.39%,LART
02-07-2025,"3,596.80","3,666.60","3,674.20","3,583.90",1.33M,-1.91%,LART
01-07-2025,"3,666.70","3,669.80","3,678.90","3,645.00",1.05M,-0.08%,LART
30-06-2025,"3,669.80","3,682.00","3,717.50","3,652.70",1.51M,-0.26%,LART
27-06-2025,"3,679.20","3,665.00","3,731.40","3,665.00",2.72M,0.54%,LART
26-06-2025,"3,659.60","3,620.10","3,669.00","3,620.10",2.58M,1.10%,LART
25-06-2025,"3,619.80","3,640.00","3,642.00","3,608.90",1.41M,0.42%,LART
24-06-2025,"3,604.80","3,637.10","3,684.00","3,597.00",2.75M,0.59%,LART
23-06-2025,"3,583.70","3,645.00","3,660.00","3,574.60",1.87M,-2.14%,LART
20-06-2025,"3,662.00","3,614.00","3,669.90","3,614.00",2.58M,1.13%,LART
19-06-2025,"3,621.10","3,607.00","3,643.00","3,591.10",1.58M,0.54%,LART
18-06-2025,"3,601.50","3,622.00","3,639.10","3,587.20",743.31K,-0.57%,LART
17-06-2025,"3,622.30","3,622.00","3,627.60","3,602.00",930.60K,-0.18%,LART
16-06-2025,"3,628.70","3,575.50","3,653.70","3,561.80",1.32M,1.15%,LART
13-06-2025,"3,587.40","3,501.20","3,596.00","3,485.90",1.98M,-0.46%,LART
12-06-2025,"3,603.90","3,684.80","3,708.00","3,585.00",2.34M,-2.20%,LART
11-06-2025,"3,684.80","3,689.90","3,692.00","3,656.10",1.27M,0.14%,LART
10-06-2025,"3,679.80","3,704.00","3,704.00","3,667.20",1.45M,0.02%,LART
09-06-2025,"3,678.90","3,664.00","3,708.90","3,662.20",898.17K,0.62%,LART
06-06-2025,"3,656.30","3,645.00","3,667.00","3,623.00",1.17M,0.38%,LART
05-06-2025,"3,642.60","3,629.90","3,677.40","3,612.00",1.47M,0.44%,LART
04-06-2025,"3,626.50","3,645.00","3,661.70","3,615.30",1.09M,-0.50%,LART
03-06-2025,"3,644.80","3,655.00","3,669.20","3,615.30",2.47M,-0.95%,LART
02-06-2025,"3,679.60","3,675.10","3,697.30","3,605.60",1.95M,0.12%,LART
30-05-2025,"3,675.10","3,655.30","3,695.30","3,654.50",2.57M,0.54%,LART
29-05-2025,"3,655.30","3,663.90","3,668.90","3,618.00",1.97M,0.25%,LART
28-05-2025,"3,646.30","3,660.00","3,663.00","3,620.00",1.29M,0.17%,LART
27-05-2025,"3,640.00","3,648.70","3,665.00","3,603.00",2.01M,-0.24%,LART
26-05-2025,"3,648.70","3,615.80","3,672.50","3,608.40",1.68M,1.36%,LART
23-05-2025,"3,599.90","3,570.00","3,631.60","3,551.20",1.12M,1.37%,LART
22-05-2025,"3,551.40","3,585.00","3,592.00","3,536.90",1.60M,-1.05%,LART
21-05-2025,"3,589.00","3,565.70","3,610.50","3,555.00",1.56M,0.59%,LART
