Date,Price,Open,High,Low,Vol.,Change %,Symbol
15-09-2025,"1,300.40","1,308.90","1,308.90","1,293.50",968.56K,-1.24%,REDY
12-09-2025,"1,316.70","1,303.10","1,321.00","1,302.80",1.04M,1.04%,REDY
11-09-2025,"1,303.10","1,304.00","1,311.00","1,283.00",1.35M,-0.08%,REDY
10-09-2025,"1,304.20","1,294.40","1,310.00","1,293.70",1.23M,1.00%,REDY
09-09-2025,"1,291.30","1,257.50","1,295.80","1,256.80",1.64M,3.25%,REDY
08-09-2025,"1,250.60","1,269.00","1,277.00","1,248.70",969.30K,-1.38%,REDY
05-09-2025,"1,268.10","1,254.30","1,271.70","1,253.60",769.86K,1.21%,REDY
04-09-2025,"1,253.00","1,268.00","1,274.70","1,249.00",1.23M,-0.73%,REDY
03-09-2025,"1,262.20","1,250.00","1,265.90","1,247.60",1.29M,0.68%,REDY
02-09-2025,"1,253.70","1,279.90","1,283.40","1,248.00",1.63M,-2.05%,REDY
01-09-2025,"1,279.90","1,260.10","1,285.00","1,260.10",1.27M,1.57%,REDY
29-08-2025,"1,260.10","1,259.00","1,266.40","1,240.80",2.42M,0.02%,REDY
28-08-2025,"1,259.80","1,263.20","1,267.40","1,248.50",1.83M,-0.27%,REDY
26-08-2025,"1,263.20","1,276.00","1,279.60","1,259.00",2.80M,-1.61%,REDY
25-08-2025,"1,283.90","1,277.70","1,288.90","1,275.30",967.06K,0.49%,REDY
22-08-2025,"1,277.60","1,274.10","1,284.10","1,265.60",1.23M,0.08%,REDY
21-08-2025,"1,276.60","1,245.40","1,281.80","1,240.30",2.01M,2.51%,REDY
20-08-2025,"1,245.40","1,244.00","1,250.70","1,238.00",685.38K,0.10%,REDY
19-08-2025,"1,244.20","1,263.00","1,263.80","1,241.90",1.06M,-1.47%,REDY
18-08-2025,"1,262.70","1,270.00","1,270.60","1,241.10",1.65M,0.18%,REDY
14-08-2025,"1,260.40","1,255.10","1,266.00","1,250.20",1.60M,0.56%,REDY
13-08-2025,"1,253.40","1,220.30","1,255.50","1,219.80",1.19M,2.71%,REDY
12-08-2025,"1,220.30","1,210.00","1,227.20","1,204.10",922.46K,0.07%,REDY
11-08-2025,"1,219.50","1,212.50","1,237.00","1,208.60",1.25M,0.67%,REDY
08-08-2025,"1,211.40","1,200.80","1,215.00","1,195.40",2.39M,0.88%,REDY
07-08-2025,"1,200.80","1,184.00","1,210.00","1,183.40",1.25M,0.34%,REDY
06-08-2025,"1,196.70","1,214.80","1,217.80","1,187.50",1.70M,-1.49%,REDY
05-08-2025,"1,214.80","1,225.00","1,232.00","1,205.00",956.58K,-0.83%,REDY
04-08-2025,"1,225.00","1,225.10","1,232.20","1,219.20",767.31K,0.36%,REDY
01-08-2025,"1,220.60","1,258.00","1,259.00","1,213.70",2.53M,-3.91%,REDY
31-07-2025,"1,270.30","1,274.50","1,285.00","1,257.00",1.97M,-1.69%,REDY
30-07-2025,"1,292.10","1,298.10","1,298.10","1,277.70",1.39M,-0.59%,REDY
29-07-2025,"1,299.80","1,287.00","1,302.00","1,282.80",1.94M,0.96%,REDY
28-07-2025,"1,287.40","1,280.00","1,290.00","1,271.60",1.55M,0.74%,REDY
25-07-2025,"1,277.90","1,266.00","1,288.50","1,261.20",1.62M,0.98%,REDY
24-07-2025,"1,265.50","1,261.10","1,287.90","1,256.10",3.81M,1.45%,REDY
23-07-2025,"1,247.40","1,240.20","1,252.10","1,231.00",1.09M,0.60%,REDY
22-07-2025,"1,240.00","1,261.00","1,263.60","1,236.00",1.30M,-1.53%,REDY
21-07-2025,"1,259.30","1,250.20","1,262.40","1,245.20",1.07M,0.14%,REDY
18-07-2025,"1,257.50","1,265.00","1,270.60","1,251.10",690.73K,-0.44%,REDY
17-07-2025,"1,263.10","1,259.40","1,274.80","1,255.50",709.42K,0.29%,REDY
16-07-2025,"1,259.40","1,260.90","1,262.00","1,250.00",1.16M,-0.12%,REDY
15-07-2025,"1,260.90","1,254.80","1,264.50","1,241.00",1.18M,0.82%,REDY
14-07-2025,"1,250.60","1,254.70","1,261.40","1,245.30",1.04M,-0.33%,REDY
11-07-2025,"1,254.70","1,263.00","1,272.00","1,251.30",895.47K,-0.63%,REDY
10-07-2025,"1,262.60","1,262.90","1,269.90","1,252.10",1.25M,-0.54%,REDY
09-07-2025,"1,269.40","1,280.00","1,285.70","1,266.90",1.49M,-1.12%,REDY
08-07-2025,"1,283.80","1,310.30","1,310.30","1,273.60",1.60M,-2.04%,REDY
07-07-2025,"1,310.50","1,307.90","1,313.40","1,298.10",569.03K,0.24%,REDY
04-07-2025,"1,307.40","1,303.00","1,313.00","1,287.20",1.47M,1.25%,REDY
03-07-2025,"1,291.30","1,274.90","1,297.60","1,270.00",1.92M,1.61%,REDY
02-07-2025,"1,270.80","1,276.00","1,280.90","1,263.70",2.03M,-0.47%,REDY
01-07-2025,"1,276.80","1,286.30","1,294.90","1,273.30",1.85M,-0.51%,REDY
30-06-2025,"1,283.30","1,302.90","1,305.00","1,272.50",2.22M,-1.36%,REDY
27-06-2025,"1,301.00","1,328.90","1,331.60","1,298.40",1.77M,-1.55%,REDY
26-06-2025,"1,321.50","1,326.00","1,333.70","1,314.60",2.37M,-1.50%,REDY
25-06-2025,"1,341.60","1,348.30","1,348.30","1,336.00",833.15K,0.32%,REDY
24-06-2025,"1,337.30","1,317.90","1,353.70","1,309.10",1.01M,1.47%,REDY
23-06-2025,"1,317.90","1,318.90","1,323.00","1,302.10",843.95K,-0.56%,REDY
20-06-2025,"1,325.30","1,332.40","1,335.00","1,318.20",1.84M,-0.06%,REDY
19-06-2025,"1,326.10","1,305.00","1,332.00","1,304.30",1.65M,0.97%,REDY
18-06-2025,"1,313.30","1,311.10","1,324.80","1,308.80",728.95K,-0.42%,REDY
17-06-2025,"1,318.80","1,348.30","1,349.70","1,302.60",1.65M,-2.08%,REDY
16-06-2025,"1,346.80","1,359.80","1,359.80","1,342.20",1.29M,-1.15%,REDY
13-06-2025,"1,362.50","1,355.00","1,366.80","1,345.00",1.42M,-0.01%,REDY
12-06-2025,"1,362.70","1,360.00","1,379.70","1,343.50",2.63M,0.86%,REDY
11-06-2025,"1,351.10","1,350.00","1,355.40","1,340.20",1.09M,0.17%,REDY
10-06-2025,"1,348.80","1,321.00","1,362.60","1,321.00",3.02M,2.25%,REDY
09-06-2025,"1,319.10","1,327.40","1,329.00","1,308.60",1.23M,-0.14%,REDY
06-06-2025,"1,320.90","1,295.10","1,322.90","1,295.00",2.16M,2.35%,REDY
05-06-2025,"1,290.60","1,264.20","1,303.40","1,264.20",3.83M,3.09%,REDY
04-06-2025,"1,251.90","1,248.30","1,266.00","1,246.30",1.39M,0.29%,REDY
03-06-2025,"1,248.30","1,250.00","1,253.40","1,240.80",811.62K,0.05%,REDY
02-06-2025,"1,247.70","1,251.00","1,251.50","1,232.50",1.14M,-0.28%,REDY
30-05-2025,"1,251.20","1,248.20","1,257.60","1,241.00",3.16M,0.24%,REDY
29-05-2025,"1,248.20","1,245.40","1,253.40","1,240.40",1.79M,0.45%,REDY
28-05-2025,"1,242.60","1,247.80","1,252.20","1,237.00",766.97K,-0.05%,REDY
27-05-2025,"1,243.20","1,243.90","1,249.00","1,237.30",1.15M,0.19%,REDY
26-05-2025,"1,240.90","1,229.90","1,247.90","1,228.70",985.43K,0.88%,REDY
23-05-2025,"1,230.10","1,228.00","1,234.90","1,216.00",734.30K,0.65%,REDY
22-05-2025,"1,222.20","1,224.70","1,229.80","1,211.40",2.26M,-0.20%,REDY
21-05-2025,"1,224.70","1,225.10","1,256.60","1,220.10",2.62M,0.04%,REDY
20-05-2025,"1,224.20","1,222.00","1,234.40","1,216.60",1.39M,0.43%,REDY
19-05-2025,"1,219.00","1,228.30","1,241.80","1,214.20",2.24M,-0.95%,REDY
16-05-2025,"1,230.70","1,238.90","1,238.90","1,221.00",882.87K,-0.45%,REDY
15-05-2025,"1,236.30","1,214.00","1,239.80","1,200.20",2.05M,1.34%,REDY
14-05-2025,"1,220.00","1,213.30","1,223.30","1,193.20",1.20M,1.07%,REDY
13-05-2025,"1,207.10","1,196.00","1,241.00","1,196.00",3.13M,0.96%,REDY
12-05-2025,"1,195.60","1,155.90","1,204.00","1,143.90",5.07M,3.43%,REDY
09-05-2025,"1,155.90","1,142.50","1,167.00","1,138.50",1.25M,0.69%,REDY
08-05-2025,"1,148.00","1,152.70","1,161.40","1,142.00",2.62M,-1.09%,REDY
07-05-2025,"1,160.70","1,143.40","1,164.60","1,143.40",1.42M,0.03%,REDY
06-05-2025,"1,160.40","1,172.20","1,175.00","1,129.40",1.99M,-0.93%,REDY
05-05-2025,"1,171.30","1,188.70","1,193.90","1,154.50",1.89M,-0.98%,REDY
02-05-2025,"1,182.90","1,176.10","1,194.80","1,171.40",1.31M,-0.08%,REDY
30-04-2025,"1,183.90","1,176.20","1,196.60","1,175.90",1.60M,0.67%,REDY
29-04-2025,"1,176.00","1,204.40","1,204.40","1,169.00",1.66M,-1.89%,REDY
28-04-2025,"1,198.70","1,176.30","1,205.00","1,176.30",1.24M,2.03%,REDY
25-04-2025,"1,174.80","1,203.90","1,210.50","1,159.70",1.29M,-2.14%,REDY
24-04-2025,"1,200.50","1,179.00","1,210.00","1,176.30",4.82M,1.22%,REDY
23-04-2025,"1,186.00","1,185.10","1,191.80","1,175.90",3.19M,0.94%,REDY
22-04-2025,"1,175.00","1,173.90","1,180.50","1,162.30",1.31M,-0.20%,REDY
21-04-2025,"1,177.40","1,163.40","1,179.70","1,155.00",1.94M,1.19%,REDY
17-04-2025,"1,163.60","1,150.10","1,173.60","1,150.10",2.79M,0.45%,REDY
16-04-2025,"1,158.40","1,150.20","1,161.40","1,143.70",1.45M,0.30%,REDY
15-04-2025,"1,154.90","1,140.90","1,158.10","1,129.00",2.68M,4.09%,REDY
11-04-2025,"1,109.50","1,139.90","1,139.90","1,102.25",2.74M,1.41%,REDY
09-04-2025,"1,094.05","1,094.50","1,103.25","1,061.65",5.51M,-1.25%,REDY
08-04-2025,"1,107.95","1,100.00","1,113.65","1,088.70",1.58M,1.84%,REDY
07-04-2025,"1,087.90","1,020.00","1,098.85","1,020.00",3.89M,-1.99%,REDY
04-04-2025,"1,109.95","1,151.80","1,157.45","1,076.20",5.42M,-3.60%,REDY
03-04-2025,"1,151.45","1,190.50","1,226.90","1,149.05",6.32M,0.13%,REDY
02-04-2025,"1,150.00","1,150.00","1,152.70","1,135.00",2.07M,-0.19%,REDY
01-04-2025,"1,152.20","1,144.20","1,164.40","1,136.05",4.16M,0.70%,REDY
28-03-2025,"1,144.20","1,159.25","1,159.25","1,140.75",2.76M,-1.55%,REDY
27-03-2025,"1,162.20","1,160.00","1,172.40","1,144.00",4.46M,-0.21%,REDY
26-03-2025,"1,164.60","1,177.90","1,179.80","1,152.65",2.86M,-1.13%,REDY
25-03-2025,"1,177.90","1,210.30","1,215.95","1,167.95",2.86M,-2.68%,REDY
24-03-2025,"1,210.30","1,205.00","1,216.35","1,190.25",1.66M,0.85%,REDY
21-03-2025,"1,200.15","1,190.20","1,204.65","1,177.05",2.31M,1.09%,REDY
20-03-2025,"1,187.20","1,178.95","1,190.75","1,165.30",1.52M,1.29%,REDY
19-03-2025,"1,172.10","1,174.00","1,177.70","1,158.10",1.51M,0.72%,REDY
18-03-2025,"1,163.70","1,157.80","1,169.40","1,149.00",1.73M,1.13%,REDY
17-03-2025,"1,150.70","1,107.90","1,154.10","1,101.50",2.71M,3.86%,REDY
13-03-2025,"1,107.95","1,105.15","1,110.25","1,095.05",1.30M,0.25%,REDY
12-03-2025,"1,105.15","1,116.60","1,116.65","1,092.45",1.91M,-1.03%,REDY
11-03-2025,"1,116.65","1,117.00","1,126.95","1,110.65",884.44K,-0.32%,REDY
10-03-2025,"1,120.20","1,134.95","1,137.15","1,115.40",950.50K,-1.15%,REDY
07-03-2025,"1,133.25","1,140.10","1,145.20","1,130.00",790.60K,-0.60%,REDY
06-03-2025,"1,140.10","1,135.00","1,145.70","1,118.65",1.65M,1.22%,REDY
05-03-2025,"1,126.40","1,120.50","1,129.00","1,110.55",1.26M,0.56%,REDY
04-03-2025,"1,120.15","1,111.10","1,124.15","1,105.05",1.07M,0.05%,REDY
03-03-2025,"1,119.60","1,118.35","1,130.25","1,103.90",1.81M,0.28%,REDY
28-02-2025,"1,116.50","1,128.70","1,132.00","1,104.55",3.90M,-0.80%,REDY
27-02-2025,"1,125.55","1,128.50","1,136.35","1,115.00",3.44M,-0.23%,REDY
25-02-2025,"1,128.15","1,167.15","1,169.55","1,122.50",6.46M,-3.13%,REDY
24-02-2025,"1,164.55","1,151.80","1,173.90","1,151.00",2.02M,1.11%,REDY
21-02-2025,"1,151.80","1,170.70","1,170.75","1,145.25",6.83M,-1.64%,REDY
20-02-2025,"1,170.95","1,164.50","1,174.15","1,156.25",1.58M,0.44%,REDY
19-02-2025,"1,165.85","1,166.00","1,176.95","1,127.50",3.06M,-2.63%,REDY
18-02-2025,"1,197.40","1,198.95","1,204.95","1,182.00",1.71M,-0.13%,REDY
17-02-2025,"1,198.95","1,196.85","1,202.00","1,183.15",613.03K,0.16%,REDY
14-02-2025,"1,197.05","1,223.50","1,230.00","1,186.25",1.21M,-2.17%,REDY
13-02-2025,"1,223.60","1,216.90","1,243.00","1,216.90",4.45M,0.64%,REDY
12-02-2025,"1,215.85","1,218.00","1,220.40","1,202.85",1.31M,0.50%,REDY
11-02-2025,"1,209.80","1,220.00","1,222.90","1,201.25",1.82M,-0.91%,REDY
10-02-2025,"1,220.95","1,239.70","1,239.70","1,211.05",1.57M,-1.57%,REDY
07-02-2025,"1,240.40","1,240.00","1,243.75","1,226.00",1.24M,0.30%,REDY
06-02-2025,"1,236.65","1,234.90","1,254.00","1,230.20",2.99M,0.74%,REDY
05-02-2025,"1,227.55","1,227.00","1,233.10","1,215.85",1.46M,0.62%,REDY
04-02-2025,"1,219.95","1,207.00","1,233.00","1,201.45",2.24M,1.34%,REDY
03-02-2025,"1,203.85","1,200.00","1,220.00","1,196.80",1.41M,-0.09%,REDY
01-02-2025,"1,204.95","1,220.40","1,220.40","1,200.10",1.07M,-1.02%,REDY
31-01-2025,"1,217.35","1,202.00","1,221.00","1,196.00",1.51M,1.91%,REDY
30-01-2025,"1,194.50","1,188.00","1,204.80","1,184.00",3.29M,1.13%,REDY
29-01-2025,"1,181.20","1,187.40","1,192.45","1,173.50",3.46M,0.00%,REDY
28-01-2025,"1,181.25","1,197.65","1,197.65","1,164.65",3.14M,-1.37%,REDY
27-01-2025,"1,197.65","1,224.40","1,234.35","1,191.50",2.18M,-2.18%,REDY
24-01-2025,"1,224.40","1,229.95","1,252.65","1,203.50",7.08M,-5.04%,REDY
23-01-2025,"1,289.40","1,289.00","1,303.95","1,274.55",1.45M,-0.53%,REDY
22-01-2025,"1,296.25","1,291.00","1,308.00","1,288.00",1.30M,0.63%,REDY
21-01-2025,"1,288.15","1,302.35","1,312.95","1,285.65",738.79K,-1.09%,REDY
20-01-2025,"1,302.35","1,308.35","1,309.00","1,293.65",561.64K,-0.54%,REDY
17-01-2025,"1,309.40","1,298.00","1,320.70","1,288.00",1.43M,0.51%,REDY
16-01-2025,"1,302.75","1,340.90","1,347.00","1,297.00",1.20M,-2.58%,REDY
15-01-2025,"1,337.20","1,345.00","1,345.00","1,313.95",1.94M,-0.03%,REDY
14-01-2025,"1,337.55","1,335.15","1,348.85","1,323.65",1.37M,0.18%,REDY
13-01-2025,"1,335.10","1,354.05","1,354.15","1,330.20",2.82M,-1.42%,REDY
10-01-2025,"1,354.40","1,366.10","1,386.00","1,352.60",1.58M,-1.25%,REDY
09-01-2025,"1,371.60","1,380.00","1,382.95","1,364.10",1.61M,0.06%,REDY
08-01-2025,"1,370.75","1,369.50","1,405.90","1,358.00",3.46M,1.42%,REDY
07-01-2025,"1,351.55","1,352.00","1,373.05","1,347.50",1.72M,0.09%,REDY
06-01-2025,"1,350.35","1,360.40","1,361.30","1,333.80",1.54M,-0.17%,REDY
03-01-2025,"1,352.65","1,375.05","1,378.15","1,347.20",1.57M,-1.63%,REDY
02-01-2025,"1,375.05","1,371.45","1,387.95","1,370.05",1.73M,0.44%,REDY
01-01-2025,"1,369.00","1,388.45","1,389.05","1,355.35",1.66M,-1.40%,REDY
31-12-2024,"1,388.50","1,370.30","1,395.00","1,366.55",1.89M,0.84%,REDY
30-12-2024,"1,376.90","1,389.60","1,392.00","1,372.10",2.46M,-0.90%,REDY
27-12-2024,"1,389.45","1,363.05","1,398.25","1,345.50",3.66M,2.53%,REDY
26-12-2024,"1,355.15","1,350.90","1,360.20","1,342.75",1.53M,0.31%,REDY
24-12-2024,"1,350.90","1,347.00","1,365.00","1,336.20",2.59M,0.71%,REDY
23-12-2024,"1,341.35","1,362.00","1,367.00","1,330.30",3.74M,-0.17%,REDY
20-12-2024,"1,343.65","1,326.00","1,368.70","1,317.40",7.50M,1.36%,REDY
19-12-2024,"1,325.60","1,275.00","1,331.35","1,271.65",7.19M,3.94%,REDY
18-12-2024,"1,275.40","1,251.90","1,281.00","1,249.55",2.82M,2.22%,REDY
17-12-2024,"1,247.65","1,269.00","1,270.95","1,243.25",2.71M,-1.76%,REDY
16-12-2024,"1,269.95","1,246.35","1,274.15","1,245.20",1.92M,1.89%,REDY
13-12-2024,"1,246.35","1,240.30","1,250.20","1,226.45",1.26M,0.08%,REDY
12-12-2024,"1,245.40","1,244.80","1,250.20","1,226.35",1.65M,0.55%,REDY
11-12-2024,"1,238.55","1,240.30","1,243.40","1,226.70",1.18M,-0.15%,REDY
10-12-2024,"1,240.35","1,250.00","1,253.60","1,233.00",2.03M,-1.18%,REDY
09-12-2024,"1,255.15","1,254.65","1,261.80","1,243.25",1.27M,0.12%,REDY
06-12-2024,"1,253.70","1,246.00","1,255.15","1,236.35",1.72M,1.12%,REDY
05-12-2024,"1,239.85","1,216.55","1,249.50","1,210.10",3.32M,2.00%,REDY
04-12-2024,"1,215.55","1,224.50","1,229.10","1,209.60",1.44M,-0.73%,REDY
03-12-2024,"1,224.50","1,229.00","1,229.00","1,217.55",2.24M,0.23%,REDY
02-12-2024,"1,221.75","1,214.25","1,225.25","1,202.30",1.83M,1.62%,REDY
29-11-2024,"1,202.30","1,206.00","1,219.35","1,198.65",2.54M,0.87%,REDY
28-11-2024,"1,191.95","1,209.05","1,209.90","1,188.45",2.82M,-0.66%,REDY
27-11-2024,"1,199.90","1,212.00","1,215.60","1,198.05",1.40M,-0.72%,REDY
26-11-2024,"1,208.65","1,209.00","1,218.35","1,203.20",1.19M,-0.05%,REDY
25-11-2024,"1,209.30","1,233.95","1,247.00","1,205.75",3.28M,-0.42%,REDY
22-11-2024,"1,214.45","1,199.00","1,223.20","1,193.60",763.76K,1.60%,REDY
21-11-2024,"1,195.35","1,174.90","1,206.70","1,172.50",2.12M,-1.49%,REDY
19-11-2024,"1,213.45","1,193.00","1,232.00","1,186.25",1.51M,1.67%,REDY
18-11-2024,"1,193.55","1,206.10","1,219.80","1,170.20",3.37M,-2.70%,REDY
14-11-2024,"1,226.70","1,249.90","1,253.00","1,222.20",1.35M,-1.47%,REDY
13-11-2024,"1,245.00","1,258.00","1,265.05","1,238.30",995.22K,-1.50%,REDY
