Date,Price,Open,High,Low,Vol.,Change %,Symbol
15-09-2025,"1,605.90","1,616.60","1,616.60","1,595.60",1.67M,-0.66%,SUN
12-09-2025,"1,616.60","1,610.00","1,622.50","1,603.10",1.88M,0.43%,SUN
11-09-2025,"1,609.70","1,592.50","1,617.00","1,591.00",1.76M,1.02%,SUN
10-09-2025,"1,593.40","1,592.10","1,601.60","1,582.40",2.41M,0.11%,SUN
09-09-2025,"1,591.70","1,580.00","1,597.00","1,577.50",1.71M,0.68%,SUN
08-09-2025,"1,581.00","1,597.60","1,604.50","1,578.20",1.37M,-0.79%,SUN
05-09-2025,"1,593.60","1,582.40","1,599.30","1,575.50",1.81M,0.71%,SUN
04-09-2025,"1,582.30","1,597.00","1,597.00","1,561.00",2.30M,0.23%,SUN
03-09-2025,"1,578.70","1,562.10","1,581.10","1,558.30",2.09M,0.86%,SUN
02-09-2025,"1,565.20","1,566.00","1,570.30","1,558.00",2.86M,0.12%,SUN
01-09-2025,"1,563.30","1,599.00","1,600.20","1,556.20",9.37M,-1.96%,SUN
29-08-2025,"1,594.50","1,581.00","1,601.70","1,575.80",3.18M,0.55%,SUN
28-08-2025,"1,585.70","1,593.10","1,600.00","1,567.60",4.99M,-0.91%,SUN
26-08-2025,"1,600.30","1,645.00","1,647.40","1,596.20",4.50M,-3.40%,SUN
25-08-2025,"1,656.70","1,649.20","1,660.50","1,634.00",1.90M,0.91%,SUN
22-08-2025,"1,641.80","1,642.00","1,651.40","1,635.10",2.10M,0.10%,SUN
21-08-2025,"1,640.20","1,630.80","1,652.50","1,623.90",1.73M,0.43%,SUN
20-08-2025,"1,633.10","1,634.00","1,636.50","1,616.00",1.83M,0.40%,SUN
19-08-2025,"1,626.60","1,632.80","1,638.00","1,619.10",2.66M,-0.37%,SUN
18-08-2025,"1,632.70","1,649.60","1,649.60","1,625.40",3.08M,-0.53%,SUN
14-08-2025,"1,641.40","1,639.80","1,651.10","1,632.20",1.74M,0.10%,SUN
13-08-2025,"1,639.80","1,624.20","1,643.50","1,617.30",1.31M,1.08%,SUN
12-08-2025,"1,622.20","1,611.70","1,636.70","1,610.10",1.68M,0.86%,SUN
11-08-2025,"1,608.40","1,586.90","1,660.00","1,584.20",1.14M,1.35%,SUN
08-08-2025,"1,586.90","1,590.00","1,602.00","1,580.90",1.65M,-0.72%,SUN
07-08-2025,"1,598.40","1,581.00","1,605.40","1,571.00",3.44M,0.20%,SUN
06-08-2025,"1,595.20","1,629.70","1,629.70","1,591.00",2.38M,-2.26%,SUN
05-08-2025,"1,632.10","1,640.90","1,644.60","1,620.10",1.62M,-0.58%,SUN
04-08-2025,"1,641.60","1,629.80","1,647.40","1,613.60",1.90M,0.73%,SUN
01-08-2025,"1,629.70","1,690.00","1,695.00","1,608.00",8.77M,-4.51%,SUN
31-07-2025,"1,706.70","1,715.50","1,748.00","1,694.00",3.23M,-1.56%,SUN
30-07-2025,"1,733.80","1,720.00","1,740.50","1,712.10",2.32M,1.36%,SUN
29-07-2025,"1,710.50","1,698.00","1,718.00","1,697.10",1.33M,0.49%,SUN
28-07-2025,"1,702.20","1,702.10","1,710.10","1,693.90",2.17M,0.19%,SUN
25-07-2025,"1,699.00","1,690.00","1,702.00","1,682.20",1.09M,0.41%,SUN
24-07-2025,"1,692.00","1,682.50","1,696.00","1,680.10",1.08M,0.56%,SUN
23-07-2025,"1,682.50","1,678.50","1,689.60","1,671.40",1.23M,0.27%,SUN
22-07-2025,"1,678.00","1,686.10","1,693.10","1,672.80",1.24M,-0.85%,SUN
21-07-2025,"1,692.30","1,681.10","1,701.40","1,677.50",2.39M,-0.08%,SUN
18-07-2025,"1,693.60","1,709.00","1,709.40","1,686.70",1.25M,-0.58%,SUN
17-07-2025,"1,703.40","1,704.00","1,717.00","1,696.00",1.46M,0.14%,SUN
16-07-2025,"1,701.00","1,730.00","1,731.30","1,698.00",2.29M,-1.53%,SUN
15-07-2025,"1,727.50","1,705.00","1,730.90","1,687.90",3.33M,2.67%,SUN
14-07-2025,"1,682.60","1,680.40","1,696.90","1,675.50",1.31M,0.63%,SUN
11-07-2025,"1,672.00","1,665.80","1,679.90","1,662.20",1.30M,0.57%,SUN
10-07-2025,"1,662.50","1,662.00","1,670.60","1,647.20",1.74M,-0.41%,SUN
09-07-2025,"1,669.40","1,660.00","1,680.80","1,647.00",2.18M,-0.19%,SUN
08-07-2025,"1,672.50","1,680.00","1,682.00","1,649.10",1.86M,-0.44%,SUN
07-07-2025,"1,679.90","1,674.70","1,682.40","1,663.00",1.55M,0.21%,SUN
04-07-2025,"1,676.30","1,686.70","1,686.70","1,671.60",1.26M,-0.20%,SUN
03-07-2025,"1,679.70","1,677.50","1,692.80","1,674.50",1.55M,0.13%,SUN
02-07-2025,"1,677.50","1,656.00","1,682.00","1,656.00",1.61M,0.62%,SUN
01-07-2025,"1,667.20","1,675.70","1,684.30","1,657.50",3.30M,-0.51%,SUN
30-06-2025,"1,675.70","1,696.00","1,704.50","1,671.60",2.16M,-0.71%,SUN
27-06-2025,"1,687.60","1,670.20","1,695.70","1,668.20",5.31M,1.07%,SUN
26-06-2025,"1,669.80","1,674.80","1,678.90","1,650.40",2.10M,0.01%,SUN
25-06-2025,"1,669.60","1,661.70","1,678.80","1,658.10",1.37M,0.48%,SUN
24-06-2025,"1,661.70","1,670.50","1,686.40","1,658.80",2.07M,-0.05%,SUN
23-06-2025,"1,662.50","1,663.20","1,667.00","1,647.20",840.64K,-0.16%,SUN
20-06-2025,"1,665.10","1,647.60","1,670.00","1,645.60",2.57M,1.06%,SUN
19-06-2025,"1,647.60","1,648.10","1,655.30","1,636.00",1.70M,-0.02%,SUN
18-06-2025,"1,648.00","1,645.00","1,661.30","1,638.50",1.46M,-0.13%,SUN
17-06-2025,"1,650.20","1,680.00","1,681.70","1,641.10",5.41M,-2.08%,SUN
16-06-2025,"1,685.30","1,665.00","1,689.80","1,655.70",2.25M,-0.15%,SUN
13-06-2025,"1,687.80","1,666.80","1,700.00","1,661.10",2.40M,0.02%,SUN
12-06-2025,"1,687.40","1,694.90","1,727.50","1,681.10",3.59M,-0.19%,SUN
11-06-2025,"1,690.60","1,694.80","1,695.00","1,679.30",2.00M,0.11%,SUN
10-06-2025,"1,688.80","1,701.80","1,706.90","1,677.70",2.37M,-0.33%,SUN
09-06-2025,"1,694.40","1,679.90","1,698.80","1,673.30",2.59M,0.91%,SUN
06-06-2025,"1,679.20","1,685.00","1,689.00","1,669.00",2.50M,-0.23%,SUN
05-06-2025,"1,683.10","1,662.00","1,694.30","1,662.00",2.04M,1.09%,SUN
04-06-2025,"1,664.90","1,656.00","1,669.00","1,649.00",1.70M,-0.16%,SUN
03-06-2025,"1,667.50","1,695.00","1,695.00","1,657.60",2.56M,-0.42%,SUN
02-06-2025,"1,674.60","1,679.00","1,683.50","1,660.50",1.82M,-0.18%,SUN
30-05-2025,"1,677.60","1,702.00","1,713.60","1,669.10",3.64M,-1.31%,SUN
29-05-2025,"1,699.80","1,675.00","1,703.30","1,670.40",2.38M,2.00%,SUN
28-05-2025,"1,666.40","1,683.40","1,686.90","1,663.00",2.66M,-1.01%,SUN
27-05-2025,"1,683.40","1,676.10","1,692.00","1,661.10",2.80M,0.44%,SUN
26-05-2025,"1,676.10","1,693.10","1,702.40","1,667.00",2.28M,-0.45%,SUN
23-05-2025,"1,683.60","1,658.00","1,689.50","1,636.60",8.34M,-2.04%,SUN
22-05-2025,"1,718.70","1,734.20","1,740.00","1,707.20",2.67M,-0.76%,SUN
21-05-2025,"1,731.80","1,716.40","1,758.70","1,707.80",2.75M,1.41%,SUN
20-05-2025,"1,707.80","1,743.80","1,748.00","1,703.30",2.71M,-1.29%,SUN
19-05-2025,"1,730.20","1,745.00","1,765.00","1,726.60",2.07M,-0.27%,SUN
16-05-2025,"1,734.90","1,740.00","1,741.60","1,719.00",1.45M,-0.30%,SUN
15-05-2025,"1,740.10","1,701.10","1,744.40","1,684.10",3.88M,1.87%,SUN
14-05-2025,"1,708.20","1,702.00","1,711.40","1,692.10",1.64M,0.48%,SUN
13-05-2025,"1,700.00","1,711.00","1,748.50","1,691.30",6.99M,0.82%,SUN
12-05-2025,"1,686.20","1,695.70","1,712.40","1,623.60",9.22M,-3.36%,SUN
09-05-2025,"1,744.80","1,751.90","1,766.30","1,731.70",1.15M,-1.27%,SUN
08-05-2025,"1,767.20","1,781.30","1,788.90","1,755.00",2.65M,-0.79%,SUN
07-05-2025,"1,781.30","1,817.90","1,826.40","1,778.70",2.02M,-2.08%,SUN
06-05-2025,"1,819.10","1,820.00","1,827.90","1,799.00",1.41M,-0.95%,SUN
05-05-2025,"1,836.60","1,827.80","1,843.30","1,821.40",1.22M,0.39%,SUN
02-05-2025,"1,829.40","1,832.30","1,851.20","1,813.80",2.31M,-0.16%,SUN
30-04-2025,"1,832.30","1,810.00","1,838.90","1,803.30",2.67M,1.48%,SUN
29-04-2025,"1,805.50","1,845.00","1,846.00","1,797.00",2.89M,-1.96%,SUN
28-04-2025,"1,841.60","1,787.40","1,846.00","1,781.20",3.22M,3.03%,SUN
25-04-2025,"1,787.40","1,806.00","1,815.50","1,764.20",2.04M,-0.91%,SUN
24-04-2025,"1,803.90","1,790.00","1,807.90","1,773.90",2.10M,0.84%,SUN
23-04-2025,"1,788.80","1,754.20","1,791.30","1,742.10",1.47M,2.37%,SUN
22-04-2025,"1,747.40","1,751.00","1,755.00","1,734.50",961.91K,0.14%,SUN
21-04-2025,"1,744.90","1,761.00","1,761.00","1,731.30",1.54M,-0.38%,SUN
17-04-2025,"1,751.50","1,695.00","1,758.00","1,687.40",2.68M,3.45%,SUN
16-04-2025,"1,693.10","1,691.10","1,702.70","1,682.10",2.21M,-0.70%,SUN
15-04-2025,"1,705.00","1,720.00","1,724.50","1,696.80",1.99M,1.03%,SUN
11-04-2025,"1,687.55","1,710.00","1,737.00","1,682.10",3.80M,2.14%,SUN
09-04-2025,"1,652.20","1,650.00","1,679.75","1,640.00",3.48M,-2.14%,SUN
08-04-2025,"1,688.35","1,645.00","1,709.85","1,645.00",2.81M,1.32%,SUN
07-04-2025,"1,666.35","1,620.10","1,692.00","1,620.10",5.72M,-2.52%,SUN
04-04-2025,"1,709.35","1,778.85","1,778.85","1,658.05",5.35M,-3.43%,SUN
03-04-2025,"1,770.00","1,755.00","1,812.70","1,750.00",5.72M,3.29%,SUN
02-04-2025,"1,713.65","1,695.00","1,718.45","1,685.90",3.37M,0.90%,SUN
01-04-2025,"1,698.35","1,731.00","1,733.95","1,681.60",4.14M,-2.10%,SUN
28-03-2025,"1,734.70","1,731.45","1,741.35","1,705.20",1.96M,0.19%,SUN
27-03-2025,"1,731.45","1,751.00","1,752.30","1,720.00",3.28M,-1.56%,SUN
26-03-2025,"1,758.95","1,767.95","1,770.80","1,746.10",1.76M,-0.33%,SUN
25-03-2025,"1,764.75","1,784.80","1,795.95","1,758.50",1.47M,-1.12%,SUN
24-03-2025,"1,784.80","1,794.50","1,820.00","1,777.60",1.18M,0.02%,SUN
21-03-2025,"1,784.50","1,759.00","1,792.80","1,750.25",2.48M,1.96%,SUN
20-03-2025,"1,750.25","1,735.65","1,757.15","1,722.90",1.60M,1.03%,SUN
19-03-2025,"1,732.35","1,747.80","1,748.00","1,726.30",2.17M,-0.88%,SUN
18-03-2025,"1,747.80","1,714.35","1,752.00","1,700.00",2.73M,2.55%,SUN
17-03-2025,"1,704.30","1,694.05","1,720.15","1,688.35",2.59M,1.24%,SUN
13-03-2025,"1,683.45","1,672.00","1,687.15","1,663.45",1.67M,0.39%,SUN
12-03-2025,"1,676.85","1,662.00","1,680.25","1,658.05",2.39M,1.30%,SUN
11-03-2025,"1,655.30","1,616.10","1,663.60","1,605.35",3.33M,2.72%,SUN
10-03-2025,"1,611.50","1,621.95","1,641.45","1,602.75",1.60M,0.14%,SUN
07-03-2025,"1,609.30","1,624.00","1,628.75","1,605.65",980.89K,-0.29%,SUN
06-03-2025,"1,614.00","1,598.25","1,617.90","1,572.55",2.46M,1.99%,SUN
05-03-2025,"1,582.45","1,564.60","1,586.30","1,553.05",2.43M,1.02%,SUN
04-03-2025,"1,566.50","1,585.00","1,590.00","1,556.00",1.72M,-1.17%,SUN
03-03-2025,"1,585.10","1,585.30","1,607.40","1,582.20",1.43M,-0.51%,SUN
28-02-2025,"1,593.25","1,671.00","1,671.00","1,586.40",3.55M,-3.29%,SUN
27-02-2025,"1,647.50","1,628.95","1,653.10","1,605.05",2.74M,2.10%,SUN
25-02-2025,"1,613.60","1,639.50","1,647.80","1,606.25",2.84M,-1.58%,SUN
24-02-2025,"1,639.50","1,629.75","1,669.90","1,627.05",2.36M,-0.26%,SUN
21-02-2025,"1,643.75","1,678.05","1,684.40","1,632.00",2.24M,-1.53%,SUN
20-02-2025,"1,669.30","1,667.15","1,677.95","1,663.00",1.67M,-0.44%,SUN
19-02-2025,"1,676.60","1,665.10","1,699.00","1,647.10",2.58M,-1.47%,SUN
18-02-2025,"1,701.60","1,714.20","1,729.75","1,698.40",2.16M,-0.74%,SUN
17-02-2025,"1,714.20","1,700.50","1,735.35","1,696.05",2.28M,0.81%,SUN
14-02-2025,"1,700.50","1,747.35","1,748.95","1,685.00",2.12M,-2.63%,SUN
13-02-2025,"1,746.35","1,700.00","1,752.75","1,699.95",2.75M,3.10%,SUN
12-02-2025,"1,693.85","1,706.45","1,714.95","1,688.05",1.76M,-0.35%,SUN
11-02-2025,"1,699.75","1,725.20","1,734.20","1,695.05",2.78M,-1.87%,SUN
10-02-2025,"1,732.10","1,741.25","1,750.00","1,723.70",1.24M,-1.01%,SUN
