Date,Price,Open,High,Low,Vol.,Change %,Symbol
15-09-2025,"3,108.30","3,134.00","3,134.00","3,096.00",1.26M,-0.80%,TCS
12-09-2025,"3,133.40","3,144.00","3,148.70","3,121.00",1.45M,0.29%,TCS
11-09-2025,"3,124.20","3,139.00","3,139.00","3,110.10",2.26M,0.46%,TCS
10-09-2025,"3,110.00","3,056.40","3,122.70","3,053.40",2.08M,1.99%,TCS
09-09-2025,"3,049.40","3,032.10","3,060.00","3,030.80",2.49M,1.01%,TCS
08-09-2025,"3,019.00","3,050.00","3,064.90","3,016.00",2.63M,-0.96%,TCS
05-09-2025,"3,048.30","3,097.10","3,103.40","3,028.60",2.80M,-1.53%,TCS
04-09-2025,"3,095.70","3,116.00","3,118.00","3,090.80",1.48M,-0.06%,TCS
03-09-2025,"3,097.50","3,129.90","3,141.90","3,088.00",1.80M,-0.45%,TCS
02-09-2025,"3,111.50","3,121.10","3,155.00","3,103.10",2.19M,-0.04%,TCS
01-09-2025,"3,112.60","3,090.00","3,131.10","3,090.00",1.25M,0.90%,TCS
29-08-2025,"3,084.70","3,093.00","3,115.00","3,077.20",2.27M,-0.29%,TCS
28-08-2025,"3,093.70","3,145.00","3,146.50","3,086.50",3.12M,-2.01%,TCS
26-08-2025,"3,157.20","3,129.00","3,162.00","3,120.00",5.52M,0.53%,TCS
25-08-2025,"3,140.60","3,087.30","3,152.00","3,077.10",3.45M,2.84%,TCS
22-08-2025,"3,054.00","3,086.00","3,095.70","3,050.00",1.59M,-1.57%,TCS
21-08-2025,"3,102.60","3,130.00","3,130.00","3,083.10",3.23M,0.13%,TCS
20-08-2025,"3,098.60","3,010.90","3,103.40","3,010.90",4.95M,2.73%,TCS
19-08-2025,"3,016.20","3,011.20","3,025.00","3,011.10",2.65M,0.17%,TCS
18-08-2025,"3,011.20","3,046.50","3,049.00","3,003.40",2.95M,-0.37%,TCS
14-08-2025,"3,022.30","3,034.00","3,055.90","3,019.10",3.34M,-0.46%,TCS
13-08-2025,"3,036.20","3,036.10","3,044.40","3,028.60",2.15M,0.03%,TCS
12-08-2025,"3,035.40","3,041.00","3,096.40","3,026.90",3.36M,-0.18%,TCS
11-08-2025,"3,040.80","3,036.40","3,049.90","3,021.30",1.88M,0.14%,TCS
08-08-2025,"3,036.40","3,048.10","3,059.80","3,025.00",2.76M,-0.35%,TCS
07-08-2025,"3,047.00","3,016.00","3,051.60","3,010.90",2.54M,0.48%,TCS
06-08-2025,"3,032.30","3,063.00","3,066.80","3,026.00",1.49M,-1.03%,TCS
05-08-2025,"3,063.90","3,074.40","3,077.50","3,042.00",1.93M,-0.34%,TCS
04-08-2025,"3,074.40","3,009.10","3,079.40","2,991.60",2.52M,2.38%,TCS
01-08-2025,"3,003.00","3,029.90","3,036.80","3,000.00",2.05M,-1.11%,TCS
31-07-2025,"3,036.80","3,041.70","3,059.80","3,015.00",2.97M,-0.55%,TCS
30-07-2025,"3,053.60","3,060.00","3,069.00","3,047.20",2.88M,-0.08%,TCS
