Date,Price,Open,High,Low,Vol.,Change %,Symbol
15-09-2025,387.35,386,390.65,386,3.10M,0.28%,TTPW
12-09-2025,386.25,388.2,389.8,384,3.63M,-0.48%,TTPW
11-09-2025,388.1,386.45,388.7,385.5,3.08M,0.41%,TTPW
10-09-2025,386.5,386.8,390.95,386.05,4.02M,0.48%,TTPW
09-09-2025,384.65,383.5,385.65,381.15,3.13M,0.37%,TTPW
08-09-2025,383.25,385.8,387.8,382.6,2.98M,-0.66%,TTPW
05-09-2025,385.8,382.6,386.5,380.1,3.36M,0.84%,TTPW
04-09-2025,382.6,390.05,392,381.75,4.11M,-1.68%,TTPW
03-09-2025,389.15,386.05,389.7,385.7,2.63M,0.80%,TTPW
02-09-2025,386.05,380.9,388.4,380,3.36M,1.45%,TTPW
01-09-2025,380.55,374.15,381,374.15,2.17M,1.71%,TTPW
29-08-2025,374.15,371.1,375,368.5,5.79M,0.82%,TTPW
28-08-2025,371.1,377.75,378.5,370.25,5.70M,-1.76%,TTPW
26-08-2025,377.75,382.15,383.6,376.6,5.56M,-1.44%,TTPW
25-08-2025,383.25,386.05,388.4,382.4,4.22M,-0.61%,TTPW
22-08-2025,385.6,387,388.7,384.7,3.04M,-0.63%,TTPW
21-08-2025,388.05,390.1,392.3,386.8,2.55M,-0.64%,TTPW
20-08-2025,390.55,388.95,392.45,388.05,3.05M,0.36%,TTPW
19-08-2025,389.15,387.35,389.65,386.5,2.05M,0.48%,TTPW
18-08-2025,387.3,389,390,385.3,3.71M,0.52%,TTPW
14-08-2025,385.3,387.2,388.6,383.15,2.66M,-0.49%,TTPW
13-08-2025,387.2,385.5,388.95,384.4,3.76M,0.72%,TTPW
12-08-2025,384.45,384.1,388.95,383.5,2.58M,0.04%,TTPW
11-08-2025,384.3,380,385.9,377.5,3.33M,1.45%,TTPW
08-08-2025,378.8,385.55,387.1,376,3.50M,-1.75%,TTPW
07-08-2025,385.55,383,386.75,379,5.33M,0.00%,TTPW
06-08-2025,385.55,385.55,387,381.65,6.11M,0.00%,TTPW
05-08-2025,385.55,388,390.5,382.7,6.37M,-0.40%,TTPW
04-08-2025,387.1,390,391.65,376.25,13.25M,-0.57%,TTPW
01-08-2025,389.3,395.1,398.15,388.2,6.24M,-2.12%,TTPW
31-07-2025,397.75,396.7,400.5,396.1,5.29M,-0.90%,TTPW
30-07-2025,401.35,401.5,403.75,397.7,5.47M,0.38%,TTPW
29-07-2025,399.85,397,401.6,396,5.04M,0.16%,TTPW
28-07-2025,399.2,394.1,403.8,393.5,5.76M,0.97%,TTPW
25-07-2025,395.35,399.8,401.25,394.3,5.83M,-1.34%,TTPW
24-07-2025,400.7,402.3,403.95,398.7,4.02M,-0.45%,TTPW
23-07-2025,402.5,400.1,405,399.65,3.78M,0.84%,TTPW
22-07-2025,399.15,403.75,403.9,398.5,3.98M,-0.67%,TTPW
21-07-2025,401.85,404,404,395,7.05M,-1.48%,TTPW
18-07-2025,407.9,411,414.15,406.15,4.61M,-1.34%,TTPW
17-07-2025,413.45,415,416.4,411.15,6.35M,-0.30%,TTPW
16-07-2025,414.7,403.05,416.75,402.5,13.50M,2.67%,TTPW
15-07-2025,403.9,402.6,405.3,398.85,4.29M,0.34%,TTPW
14-07-2025,402.55,396.85,403.15,395.5,4.07M,1.44%,TTPW
11-07-2025,396.85,399.05,401.7,395.4,6.89M,-0.76%,TTPW
10-07-2025,399.9,400.65,402.7,397.8,4.30M,-0.19%,TTPW
09-07-2025,400.65,400.85,405.5,398.5,4.15M,-0.05%,TTPW
08-07-2025,400.85,401.2,406.65,397.7,5.55M,-0.09%,TTPW
07-07-2025,401.2,401,403.55,398.4,6.39M,0.05%,TTPW
04-07-2025,401,399,403.55,398.5,3.43M,0.28%,TTPW
03-07-2025,399.9,400,403.7,396.6,9.67M,-1.66%,TTPW
02-07-2025,406.65,406.55,410.9,404.4,4.28M,0.02%,TTPW
01-07-2025,406.55,406,407.8,403,3.18M,0.27%,TTPW
30-06-2025,405.45,408.85,410.2,403.5,3.23M,-0.83%,TTPW
27-06-2025,408.85,407.1,411.5,406.35,5.24M,0.79%,TTPW
26-06-2025,405.65,403.05,406,401.5,5.06M,0.65%,TTPW
25-06-2025,403.05,400.95,405.65,400,6.32M,1.15%,TTPW
24-06-2025,398.45,395,403.8,394.85,6.30M,1.39%,TTPW
23-06-2025,393,385,394.55,384.55,5.20M,0.74%,TTPW
20-06-2025,390.1,383.5,392.5,381.6,15.32M,1.44%,TTPW
19-06-2025,384.55,392.5,394.1,383,4.44M,-2.25%,TTPW
18-06-2025,393.4,396.05,398,390.6,2.97M,-0.67%,TTPW
17-06-2025,396.05,399.4,402.2,395,3.23M,-0.84%,TTPW
16-06-2025,399.4,397,401.25,391.25,3.61M,0.55%,TTPW
13-06-2025,397.2,395,399.4,393.75,4.75M,-1.11%,TTPW
12-06-2025,401.65,412,412.5,400.05,5.28M,-2.52%,TTPW
11-06-2025,412.05,415,416.8,409.35,6.79M,-0.28%,TTPW
10-06-2025,413.2,409,416,406.2,10.13M,1.72%,TTPW
09-06-2025,406.2,400.4,407.5,400,5.98M,1.66%,TTPW
06-06-2025,399.55,392.1,400.8,392.1,6.20M,1.52%,TTPW
05-06-2025,393.55,393,397.95,392.3,3.95M,-0.03%,TTPW
04-06-2025,393.65,391,395,389.05,7.24M,0.55%,TTPW
03-06-2025,391.5,396.85,399.15,389.85,4.92M,-1.35%,TTPW
02-06-2025,396.85,392.8,398.2,391.1,4.99M,1.03%,TTPW
30-05-2025,392.8,397,399.9,391.05,6.60M,-1.13%,TTPW
29-05-2025,397.3,398.7,399.15,395.1,3.55M,0.24%,TTPW
28-05-2025,396.35,400.95,404.55,395.5,5.22M,-1.45%,TTPW
27-05-2025,402.2,402.9,404,398.4,4.09M,-0.10%,TTPW
26-05-2025,402.6,402.25,406,400.6,5.94M,0.14%,TTPW
23-05-2025,402.05,396.15,402.8,393.55,5.13M,1.63%,TTPW
22-05-2025,395.6,399,402.55,389.5,5.11M,-1.56%,TTPW
21-05-2025,401.85,400.8,402.85,396.15,3.84M,0.73%,TTPW
20-05-2025,398.95,408.3,408.75,398.3,5.87M,-2.24%,TTPW
19-05-2025,408.1,407.8,411.95,406.6,6.90M,0.57%,TTPW
16-05-2025,405.8,397.95,409.8,397.65,13.23M,1.97%,TTPW
15-05-2025,397.95,403,404,392.65,18.85M,0.25%,TTPW
14-05-2025,396.95,390.5,398.9,390.3,8.64M,1.97%,TTPW
13-05-2025,389.3,392,395.9,388.05,5.94M,-0.54%,TTPW
12-05-2025,391.4,382,393,378.5,8.93M,5.50%,TTPW
09-05-2025,371,358.15,372.05,357.25,9.01M,0.23%,TTPW
08-05-2025,370.15,377.35,383.6,367.3,5.89M,-1.91%,TTPW
07-05-2025,377.35,366,380.85,366,6.82M,0.65%,TTPW
06-05-2025,374.9,388.05,389.8,373,5.61M,-3.65%,TTPW
05-05-2025,389.1,382,389.9,380.15,4.27M,1.93%,TTPW
